caldt,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret
11/30/2011,0.021636,0.016038,0.008685,0.005789,0.002623,0.000186,0.000291,0.000006,0.000004,-0.000844
12/30/2011,0.034102,0.027565,0.019019,0.014868,0.006518,0.000491,-0.000495,-0.000009,0.000000,-0.002467
01/31/2012,-0.005795,0.000123,0.008827,0.010223,0.007973,0.000864,0.000450,-0.000048,-0.000002,0.004400
02/29/2012,-0.024496,-0.020789,-0.010592,-0.007426,-0.005721,-0.001303,-0.000635,0.000018,0.000031,0.004403
03/30/2012,-0.044988,-0.035932,-0.019458,-0.011703,-0.007109,-0.000274,-0.000285,0.000088,0.000046,0.007595
04/30/2012,0.047272,0.041630,0.028413,0.021896,0.012062,0.002289,0.000716,0.000036,0.000029,0.003021
05/31/2012,0.098554,0.082921,0.031440,0.022031,0.008390,0.000290,0.000108,0.000175,0.000065,-0.001173
06/29/2012,-0.019824,-0.016865,-0.006625,-0.004542,-0.001385,-0.000607,-0.000491,0.000095,0.000022,-0.001466
07/31/2012,0.044671,0.035250,0.015792,0.010579,0.008221,0.002624,0.001154,0.000102,0.000032,-0.001630
08/31/2012,-0.019212,-0.012587,-0.002442,-0.000892,0.001074,-0.000251,-0.000172,0.000123,0.000050,0.005565
09/28/2012,-0.028056,-0.020368,-0.006372,-0.001414,0.000245,0.000019,0.000157,0.000109,0.000067,0.004462
10/31/2012,-0.003986,-0.002611,-0.002909,-0.004347,-0.003651,-0.000574,0.000080,0.000067,0.000037,-0.000389
11/30/2012,0.013069,0.011232,0.009380,0.008396,0.007181,0.001030,0.000265,0.000195,0.000085,-0.004738
12/31/2012,-0.025503,-0.017688,-0.008797,-0.007175,-0.003136,0.000428,0.000379,0.000118,0.000103,-0.002693
01/31/2013,-0.040356,-0.032754,-0.014939,-0.010384,-0.005317,0.000317,0.000448,0.000019,0.000022,0.002957
02/28/2013,0.016490,0.012462,0.011635,0.011607,0.006808,0.000928,0.000347,0.000017,0.000054,0.008190
03/28/2013,-0.000857,-0.001676,0.003768,0.003451,0.001281,0.000045,0.000170,0.000143,0.000041,0.002615
